Source,Destination,CARGO_PLANE,GOODS_RAIL,HGV_(Large),MIXED_RAIL,Total co2 Emission (kg)
Bangalore,Chennai,0.0,29.621987246695205,0.0,0.0,29.621987246695205
Bangalore,Kolkata,859.627823713686,158.2333755033192,302.96354390166505,173.680591551891,1494.505334670561
Bangalore,Mumbai,0.0,85.5633555403536,0.0,0.0,85.5633555403536
Chennai,Bangalore,0.0,0.0,0.0,32.513774363871,32.513774363871
Chennai,Delhi,0.0,177.7377774350304,0.0,0.0,177.7377774350304
Chennai,Kolkata,0.0,0.0,0.0,151.05342055837198,151.05342055837198
Chennai,Mumbai,0.0,104.75457088709761,0.0,0.0,104.75457088709761
Delhi,Chennai,0.0,177.7377774350304,0.0,0.0,177.7377774350304
Delhi,Kolkata,0.0,132.8340410283936,0.0,145.801697970828,278.63573899922164
Delhi,Mumbai,0.0,116.1307564968096,0.0,0.0,116.1307564968096
