Source,Destination,Air Distance (km),Rail Distance (km),Road Distance (km)
Mumbai ,Delhi ,1144.16,1190.94,1431.71
Mumbai ,Bengaluru,842.55,877.27,1054.7
Mumbai ,Hyderabad ,621.64,647.52,778.56
Mumbai ,Ahmadabad ,437.67,456.19,548.6
Mumbai ,Surat ,6943.76,7222.5,8681.19
Mumbai ,Kolkata ,1656.73,1724.01,2072.43
Mumbai ,Chennai ,1031.89,1074.18,1291.37
Mumbai ,Jaipur ,918.66,956.42,1149.83
Mumbai ,Pune ,119.98,125.79,151.48
Mumbai ,Kanpur ,1118.64,1164.39,1399.81
Mumbai ,Lucknow ,1191.35,1240.01,1490.69
Mumbai ,Nagpur ,688.0,716.53,861.51
Mumbai ,Indore ,509.21,530.59,638.03
Mumbai ,Thane ,16.06,17.72,21.59
Mumbai ,Pimpri Chinchwad ,109.29,114.68,138.13
Mumbai ,Bhopal ,659.36,686.74,825.71
Mumbai ,Patna ,1452.82,1511.94,1817.53
Mumbai ,Visakhapatnam,1111.33,1156.79,1390.67
Mumbai ,Ludhiana ,1339.21,1393.79,1675.52
Mumbai ,Vadodara ,357.88,373.21,448.86
Mumbai ,Agra ,1039.03,1081.6,1300.29
Mumbai ,Nashik ,140.79,147.43,177.5
Mumbai ,Faridabad ,1126.98,1173.06,1410.23
Mumbai ,Meerut ,1201.58,1250.66,1503.49
Mumbai ,Rajkot ,417.56,435.27,523.46
Mumbai ,Vasai Virar City ,38.41,40.96,49.52
Mumbai ,Varanasi ,1252.58,1303.69,1567.23
Mumbai ,Srinagar ,1672.71,1740.62,2092.39
Mumbai ,Dhanbad ,1497.92,1558.84,1873.91
Delhi ,Mumbai ,1144.16,1190.94,1431.71
Delhi ,Bengaluru,1733.37,1803.71,2168.22
Delhi ,Hyderabad ,1254.85,1306.05,1570.07
Delhi ,Ahmadabad ,772.9,804.82,967.63
Delhi ,Surat ,6585.61,6850.03,8233.5
Delhi ,Kolkata ,1308.14,1361.48,1636.69
Delhi ,Chennai ,1750.69,1821.72,2189.87
Delhi ,Jaipur ,231.87,242.16,291.35
Delhi ,Pune ,1169.18,1216.96,1462.98
Delhi ,Kanpur ,392.96,409.69,492.71
Delhi ,Lucknow ,420.66,438.49,527.33
Delhi ,Nagpur ,850.45,885.48,1064.57
Delhi ,Indore ,667.34,695.04,835.68
Delhi ,Thane ,1128.69,1174.85,1412.37
Delhi ,Pimpri Chinchwad ,1159.46,1206.85,1450.84
Delhi ,Bhopal ,595.26,620.08,745.58
Delhi ,Patna ,856.15,891.41,1071.7
Delhi ,Visakhapatnam,1360.28,1415.7,1701.86
Delhi ,Ludhiana ,282.39,294.7,354.5
Delhi ,Vadodara ,807.14,840.43,1010.43
Delhi ,Agra ,180.84,189.09,227.57
Delhi ,Nashik ,1014.02,1055.59,1269.03
Delhi ,Faridabad ,28.33,30.47,36.92
Delhi ,Meerut ,65.52,69.15,83.41
Delhi ,Rajkot ,948.66,987.62,1187.33
Delhi ,Vasai Virar City ,1111.36,1156.82,1390.7
Delhi ,Varanasi ,684.43,712.82,857.05
Delhi ,Srinagar ,644.02,670.79,806.54
Delhi ,Dhanbad ,1068.48,1112.23,1337.11
Bengaluru,Mumbai ,842.55,877.27,1054.7
Bengaluru,Delhi ,1733.37,1803.71,2168.22
Bengaluru,Hyderabad ,494.28,515.06,619.36
Bengaluru,Ahmadabad ,1231.53,1281.8,1540.92
Bengaluru,Surat ,7774.2,8086.16,9719.23
Bengaluru,Kolkata ,1558.47,1621.81,1949.59
Bengaluru,Chennai ,290.95,303.61,365.2
Bengaluru,Jaipur ,1554.14,1617.32,1944.18
Bengaluru,Pune ,732.5,762.81,917.14
Bengaluru,Kanpur ,1519.8,1581.6,1901.26
Bengaluru,Lucknow ,1573.73,1637.69,1968.67
Bengaluru,Nagpur ,918.33,956.07,1149.42
Bengaluru,Indore ,1093.71,1138.47,1368.65
Bengaluru,Thane ,846.99,881.88,1060.25
Bengaluru,Pimpri Chinchwad ,745.44,776.27,933.31
Bengaluru,Bhopal ,1138.19,1184.73,1424.25
Bengaluru,Patna ,1605.91,1671.16,2008.89
Bengaluru,Visakhapatnam,807.22,840.52,1010.53
Bengaluru,Ludhiana ,1990.4,2071.03,2489.51
Bengaluru,Vadodara ,1131.87,1178.15,1416.35
Bengaluru,Agra ,1572.51,1636.42,1967.15
Bengaluru,Nashik ,877.69,913.81,1098.62
Bengaluru,Faridabad ,1708.22,1777.56,2136.78
Bengaluru,Meerut ,1772.25,1844.14,2216.81
Bengaluru,Rajkot ,1258.25,1309.59,1574.32
Bengaluru,Vasai Virar City ,876.58,912.65,1097.23
Bengaluru,Varanasi ,1481.46,1541.72,1853.33
Bengaluru,Srinagar ,2353.56,2448.71,2943.46
Bengaluru,Dhanbad ,1517.6,1579.31,1898.51
Hyderabad ,Mumbai ,621.64,647.52,778.56
Hyderabad ,Delhi ,1254.85,1306.05,1570.07
Hyderabad ,Bengaluru,494.28,515.06,619.36
Hyderabad ,Ahmadabad ,878.55,914.71,1099.7
Hyderabad ,Surat ,7506.97,7808.24,9385.19
Hyderabad ,Kolkata ,1184.54,1232.94,1482.19
Hyderabad ,Chennai ,511.06,532.51,640.33
Hyderabad ,Jaipur ,1092.81,1137.53,1367.52
Hyderabad ,Pune ,505.96,527.21,633.96
Hyderabad ,Kanpur ,1025.56,1067.59,1283.45
Hyderabad ,Lucknow ,1079.65,1123.85,1351.07
Hyderabad ,Nagpur ,424.29,442.27,531.87
Hyderabad ,Indore ,652.93,680.06,817.67
Hyderabad ,Thane ,616.3,641.96,771.88
Hyderabad ,Pimpri Chinchwad ,514.39,535.97,644.49
Hyderabad ,Bhopal ,662.47,689.98,829.6
Hyderabad ,Patna ,1143.57,1190.33,1430.98
Hyderabad ,Visakhapatnam,514.08,535.66,644.12
Hyderabad ,Ludhiana ,1521.18,1583.03,1902.98
Hyderabad ,Vadodara ,777.38,809.48,973.23
Hyderabad ,Agra ,1087.88,1132.41,1361.36
Hyderabad ,Nashik ,574.57,598.57,719.72
Hyderabad ,Faridabad ,1228.69,1278.85,1537.37
Hyderabad ,Meerut ,1289.51,1342.1,1613.39
Hyderabad ,Rajkot ,971.99,1011.88,1216.5
Hyderabad ,Vasai Virar City ,639.47,666.06,800.85
Hyderabad ,Varanasi ,1000.17,1041.18,1251.72
Hyderabad ,Srinagar ,1887.26,1963.76,2360.58
Hyderabad ,Dhanbad ,1092.96,1137.69,1367.71
Ahmadabad ,Mumbai ,437.67,456.19,548.6
Ahmadabad ,Delhi ,772.9,804.82,967.63
Ahmadabad ,Bengaluru,1231.53,1281.8,1540.92
Ahmadabad ,Hyderabad ,878.55,914.71,1099.7
Ahmadabad ,Surat ,6629.96,6896.15,8288.94
Ahmadabad ,Kolkata ,1620.63,1686.46,2027.29
Ahmadabad ,Chennai ,1367.69,1423.41,1711.12
Ahmadabad ,Jaipur ,541.26,563.92,678.08
Ahmadabad ,Pune ,515.6,537.24,646.01
Ahmadabad ,Kanpur ,870.66,906.5,1089.84
Ahmadabad ,Lucknow ,943.53,982.28,1180.92
Ahmadabad ,Nagpur ,702.23,731.33,879.3
Ahmadabad ,Indore ,339.1,353.68,425.39
Ahmadabad ,Thane ,425.69,443.73,533.62
Ahmadabad ,Pimpri Chinchwad ,502.77,523.9,629.98
Ahmadabad ,Bhopal ,494.55,515.35,619.7
Ahmadabad ,Patna ,1304.5,1357.69,1632.13
Ahmadabad ,Visakhapatnam,1263.04,1314.57,1580.31
Ahmadabad ,Ludhiana ,926.62,964.7,1159.79
Ahmadabad ,Vadodara ,102.09,107.19,129.13
Ahmadabad ,Agra ,715.16,744.78,895.47
Ahmadabad ,Nashik ,356.13,371.39,446.67
Ahmadabad ,Faridabad ,761.94,793.43,953.94
Ahmadabad ,Meerut ,836.25,870.72,1046.83
Ahmadabad ,Rajkot ,199.1,208.08,250.39
Ahmadabad ,Vasai Virar City ,399.43,416.42,500.8
Ahmadabad ,Varanasi ,1089.8,1134.4,1363.75
Ahmadabad ,Srinagar ,1244.38,1295.16,1556.98
Ahmadabad ,Dhanbad ,1417.79,1475.51,1773.74
Surat ,Mumbai ,6943.76,7222.5,8681.19
Surat ,Delhi ,6585.61,6850.03,8233.5
Surat ,Bengaluru,7774.2,8086.16,9719.23
Surat ,Hyderabad ,7506.97,7808.24,9385.19
Surat ,Ahmadabad ,6629.96,6896.15,8288.94
Surat ,Kolkata ,7873.95,8189.89,9843.92
Surat ,Chennai ,7973.73,8293.67,9968.65
Surat ,Jaipur ,6601.83,6866.89,8253.77
Surat ,Pune ,7061.24,7344.68,8828.04
Surat ,Kanpur ,6978.36,7258.49,8724.44
Surat ,Lucknow ,6998.02,7278.94,8749.02
Surat ,Nagpur ,7270.07,7561.87,9089.07
Surat ,Indore ,6906.35,7183.6,8634.43
Surat ,Thane ,6942.23,7220.92,8679.28
Surat ,Pimpri Chinchwad ,7049.1,7332.05,8812.86
Surat ,Bhopal ,6985.54,7265.96,8733.42
Surat ,Patna ,7404.08,7701.24,9256.59
Surat ,Visakhapatnam,7852.87,8167.97,9817.57
Surat ,Ludhiana ,6327.03,6581.11,7910.28
Surat ,Vadodara ,6730.27,7000.48,8414.33
Surat ,Agra ,6751.26,7022.3,8440.56
Surat ,Nashik ,6944.92,7223.71,8682.64
Surat ,Faridabad ,6611.79,6877.26,8266.23
Surat ,Meerut ,6601.78,6866.85,8253.72
Surat ,Rajkot ,6544.32,6807.08,8181.89
Surat ,Vasai Virar City ,6913.63,7191.17,8643.52
Surat ,Varanasi ,7263.81,7555.35,9081.25
Surat ,Srinagar ,6042.15,6284.84,7554.19
Surat ,Dhanbad ,7636.5,7942.95,9547.11
Kolkata ,Mumbai ,1656.73,1724.01,2072.43
Kolkata ,Delhi ,1308.14,1361.48,1636.69
Kolkata ,Bengaluru,1558.47,1621.81,1949.59
